"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,-2,0,0
-4.3405e-05,9.5754e-05,0,1,0.003,-1.997,0,0
-8.6809e-05,0.00019151,0,1,0.006,-1.994,0,0
-0.00013021,0.00028726,0,1,0.0089999,-1.991,0,0
-0.00017362,0.00038301,0,1,0.012,-1.988,0,0
-0.00021702,0.00047877,0,1,0.015,-1.985,0,0
-0.00026043,0.00057452,0,1,0.018,-1.982,0,0
-0.00030383,0.00067028,0,1,0.021,-1.979,0,0
-0.00034723,0.00076603,0,1,0.024,-1.976,0,0
-0.00039064,0.00086178,0,1,0.027,-1.973,0,0
-0.00043404,0.00095753,0,1,0.03,-1.97,0,0
-0.00047745,0.0010533,0,1,0.033,-1.967,0,0
-0.00052085,0.001149,0,1,0.036,-1.964,0,0
-0.00056426,0.0012448,0,1,0.039,-1.961,0,0
-0.00060766,0.0013406,0,1,0.042,-1.958,0,0
-0.00065106,0.0014363,0,1,0.045,-1.955,0,0
-0.00069493,0.0015585,0,1,0.048,-1.952,0,0
-0.00073957,0.0017247,0,1,0.051,-1.949,0,0
-0.00078421,0.001891,0,1,0.054,-1.946,0,0
-0.00082884,0.0020572,0,1,0.057,-1.943,0,0
-0.00087348,0.0022234,0,1,0.06,-1.94,0,0
-0.00091812,0.0023897,0,1,0.063,-1.937,0,0
-0.00096276,0.0025559,0,1,0.066,-1.934,0,0
-0.0010074,0.0027222,0,1,0.069,-1.931,0,0
-0.001052,0.0028884,0,1,0.072,-1.928,0,0
-0.0010967,0.0030547,0,1,0.075,-1.925,0,0
-0.0011413,0.0032209,0,1,0.078,-1.922,0,0
-0.0011859,0.0033871,0,1,0.081,-1.919,0,0
-0.0012306,0.0035534,0,1,0.084,-1.916,0,0
-0.0012752,0.0037196,0,1,0.087,-1.913,0,0
-0.0013199,0.0038859,0,1,0.09,-1.91,0,0
-0.0013645,0.0040521,0,1,0.093,-1.907,0,0
-0.0014101,0.0042712,0,1,0.096,-1.904,0,0
-0.0014559,0.0045079,0,1,0.099,-1.901,0,0
-0.0015018,0.0047447,0,1,0.102,-1.898,0,0
-0.0015477,0.0049814,0,1,0.105,-1.895,0,0
-0.0015935,0.0052181,0,1,0.108,-1.892,0,0
-0.0016394,0.0054548,0,1,0.111,-1.889,0,0
-0.0016853,0.0056916,0,1,0.114,-1.886,0,0
-0.0017312,0.0059283,0,1,0.117,-1.883,0,0
-0.001777,0.006165,0,1,0.12,-1.88,0,0
-0.0018229,0.0064018,0,1,0.123,-1.877,0,0
-0.0018688,0.0066385,0,1,0.126,-1.874,0,0
-0.0019146,0.0068752,0,1,0.129,-1.871,0,0
-0.0019605,0.0071119,0,1,0.132,-1.868,0,0
-0.0020064,0.0073487,0,1,0.135,-1.865,0,0
-0.0020523,0.0075854,0,1,0.138,-1.862,0,0
-0.0020983,0.0078309,0,1,0.141,-1.859,0,0
-0.0021454,0.0081382,0,1,0.144,-1.856,0,0
-0.0021925,0.0084454,0,1,0.147,-1.853,0,0
-0.0022396,0.0087526,0,1,0.15,-1.85,0,0
-0.0022867,0.0090598,0,1,0.153,-1.847,0,0
-0.0023338,0.009367,0,1,0.156,-1.844,0,0
-0.0023809,0.0096742,0,1,0.159,-1.841,0,0
-0.002428,0.0099814,0,1,0.162,-1.838,0,0
-0.0024751,0.010289,0,1,0.165,-1.835,0,0
-0.0025222,0.010596,0,1,0.168,-1.832,0,0
-0.0025693,0.010903,0,1,0.171,-1.829,0,0
-0.0026164,0.01121,0,1,0.174,-1.826,0,0
-0.0026635,0.011518,0,1,0.177,-1.823,0,0
-0.0027106,0.011825,0,1,0.18,-1.82,0,0
-0.0027577,0.012132,0,1,0.183,-1.817,0,0
-0.0028048,0.012439,0,1,0.186,-1.814,0,0
-0.0028524,0.012777,0,1,0.189,-1.811,0,0
-0.0029005,0.013147,0,1,0.192,-1.808,0,0
-0.0029485,0.013516,0,1,0.195,-1.805,0,0
-0.0029966,0.013886,0,1,0.198,-1.802,0,0
-0.0030446,0.014255,0,1,0.201,-1.799,0,0
-0.0030927,0.014624,0,1,0.204,-1.796,0,0
-0.0031408,0.014994,0,1,0.207,-1.793,0,0
-0.0031888,0.015363,0,1,0.21,-1.79,0,0
-0.0032369,0.015733,0,1,0.213,-1.787,0,0
-0.0032849,0.016102,0,1,0.216,-1.784,0,0
-0.003333,0.016471,0,1,0.219,-1.781,0,0
-0.003381,0.016841,0,1,0.222,-1.778,0,0
-0.0034291,0.01721,0,1,0.225,-1.775,0,0
-0.0034771,0.01758,0,1,0.228,-1.772,0,0
-0.0035252,0.017949,0,1,0.231,-1.769,0,0
-0.0035732,0.018318,0,1,0.234,-1.766,0,0
-0.0036219,0.018735,0,1,0.237,-1.763,0,0
-0.0036706,0.019158,0,1,0.24,-1.76,0,0
-0.0037193,0.019581,0,1,0.243,-1.757,0,0
-0.003768,0.020005,0,1,0.246,-1.754,0,0
-0.0038168,0.020428,0,1,0.249,-1.751,0,0
-0.0038655,0.020851,0,1,0.252,-1.748,0,0
-0.0039142,0.021275,0,1,0.255,-1.745,0,0
-0.0039629,0.021698,0,1,0.258,-1.742,0,0
-0.0040116,0.022121,0,1,0.261,-1.739,0,0
-0.0040604,0.022544,0,1,0.264,-1.736,0,0
-0.0041091,0.022968,0,1,0.267,-1.733,0,0
-0.0041578,0.023391,0,1,0.27,-1.73,0,0
-0.0042065,0.023814,0,1,0.273,-1.727,0,0
-0.0042552,0.024237,0,1,0.276,-1.724,0,0
-0.004304,0.024661,0,1,0.279,-1.721,0,0
-0.0043528,0.025097,0,1,0.282,-1.718,0,0
-0.0044022,0.025575,0,1,0.285,-1.715,0,0
-0.0044516,0.026052,0,1,0.288,-1.712,0,0
-0.004501,0.026529,0,1,0.291,-1.709,0,0
-0.0045504,0.027006,0,1,0.294,-1.706,0,0
-0.0045998,0.027483,0,1,0.297,-1.703,0,0
-0.0046492,0.02796,0,1,0.3,-1.7,0,0
