"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1,0,-2,0,0
-8.6809e-05,-8.1099e-20,0,1,0.003,-1.997,0,0
-0.00017362,-1.622e-19,0,1,0.006,-1.994,0,0
-0.00026042,-2.4329e-19,0,1,0.0089999,-1.991,0,0
-0.00034723,-3.2439e-19,0,1,0.012,-1.988,0,0
-0.00043404,-4.0549e-19,0,1,0.015,-1.985,0,0
-0.00052085,-4.8659e-19,0,1,0.018,-1.982,0,0
-0.00060766,-5.6769e-19,0,1,0.021,-1.979,0,0
-0.00069447,-6.4879e-19,0,1,0.024,-1.976,0,0
-0.00078127,-7.2988e-19,0,1,0.027,-1.973,0,0
-0.00086808,-8.1098e-19,0,1,0.03,-1.97,0,0
-0.00095489,-8.9208e-19,0,1,0.033,-1.967,0,0
-0.0010417,-9.7318e-19,0,1,0.036,-1.964,0,0
-0.0011285,-1.0543e-18,0,1,0.039,-1.961,0,0
-0.0012153,-1.1354e-18,0,1,0.042,-1.958,0,0
-0.0013021,-1.2165e-18,0,1,0.045,-1.955,0,0
-0.0013899,-1.3413e-18,0,1,0.048,-1.952,0,0
-0.0014791,-1.5391e-18,0,1,0.051,-1.949,0,0
-0.0015684,-1.7368e-18,0,1,0.054,-1.946,0,0
-0.0016577,-1.9346e-18,0,1,0.057,-1.943,0,0
-0.001747,-2.1324e-18,0,1,0.06,-1.94,0,0
-0.0018362,-2.3301e-18,0,1,0.063,-1.937,0,0
-0.0019255,-2.5279e-18,0,1,0.066,-1.934,0,0
-0.0020148,-2.7256e-18,0,1,0.069,-1.931,0,0
-0.0021041,-2.9234e-18,0,1,0.072,-1.928,0,0
-0.0021933,-3.1212e-18,0,1,0.075,-1.925,0,0
-0.0022826,-3.3189e-18,0,1,0.078,-1.922,0,0
-0.0023719,-3.5167e-18,0,1,0.081,-1.919,0,0
-0.0024612,-3.7144e-18,0,1,0.084,-1.916,0,0
-0.0025504,-3.9122e-18,0,1,0.087,-1.913,0,0
-0.0026397,-4.1099e-18,0,1,0.09,-1.91,0,0
-0.002729,-4.3077e-18,0,1,0.093,-1.907,0,0
-0.0028201,-4.5933e-18,0,1,0.096,-1.904,0,0
-0.0029119,-4.9081e-18,0,1,0.099,-1.901,0,0
-0.0030036,-5.223e-18,0,1,0.102,-1.898,0,0
-0.0030953,-5.5378e-18,0,1,0.105,-1.895,0,0
-0.0031871,-5.8527e-18,0,1,0.108,-1.892,0,0
-0.0032788,-6.1675e-18,0,1,0.111,-1.889,0,0
-0.0033706,-6.4824e-18,0,1,0.114,-1.886,0,0
