"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.3226e-18,3.2959e-32,0,1,0,-2,0,0
0.00012925,6.7379e-19,0,1,0.003,-1.997,0,0
0.00025851,1.3476e-18,0,1,0.006,-1.994,0,0
0.00038775,2.0213e-18,0,1,0.0089999,-1.991,0,0
0.00051701,2.6951e-18,0,1,0.012,-1.988,0,0
0.00064626,3.3689e-18,0,1,0.015,-1.985,0,0
0.00077551,4.0427e-18,0,1,0.018,-1.982,0,0
0.00090476,4.7165e-18,0,1,0.021,-1.979,0,0
0.001034,5.3903e-18,0,1,0.024,-1.976,0,0
0.0011644,6.0581e-18,0,1,0.027,-1.973,0,0
0.0012959,6.7199e-18,0,1,0.03,-1.97,0,0
0.0014275,7.3816e-18,0,1,0.033,-1.967,0,0
0.001559,8.0434e-18,0,1,0.036,-1.964,0,0
0.0016906,8.7051e-18,0,1,0.039,-1.961,0,0
0.0018221,9.3669e-18,0,1,0.042,-1.958,0,0
0.0019537,1.0029e-17,0,1,0.045,-1.955,0,0
0.0020852,1.069e-17,0,1,0.048,-1.952,0,0
0.0022167,1.1352e-17,0,1,0.051,-1.949,0,0
0.0023505,1.217e-17,0,1,0.054,-1.946,0,0
0.0024843,1.2991e-17,0,1,0.057,-1.943,0,0
0.0026181,1.3812e-17,0,1,0.06,-1.94,0,0
0.0027519,1.4633e-17,0,1,0.063,-1.937,0,0
0.0028857,1.5454e-17,0,1,0.066,-1.934,0,0
0.0030195,1.6275e-17,0,1,0.069,-1.931,0,0
0.0031533,1.7096e-17,0,1,0.072,-1.928,0,0
0.0032871,1.7917e-17,0,1,0.075,-1.925,0,0
0.0034219,1.8893e-17,0,1,0.078,-1.922,0,0
0.0035579,2.0044e-17,0,1,0.081,-1.919,0,0
0.0036939,2.1196e-17,0,1,0.084,-1.916,0,0
0.0038299,2.2347e-17,0,1,0.087,-1.913,0,0
0.0039659,2.3499e-17,0,1,0.09,-1.91,0,0
0.0041019,2.465e-17,0,1,0.093,-1.907,0,0
0.0042379,2.5802e-17,0,1,0.096,-1.904,0,0
0.004374,2.6953e-17,0,1,0.099,-1.901,0,0
0.00451,2.8105e-17,0,1,0.102,-1.898,0,0
0.004648,2.9693e-17,0,1,0.105,-1.895,0,0
0.0047862,3.1299e-17,0,1,0.108,-1.892,0,0
0.0049244,3.2905e-17,0,1,0.111,-1.889,0,0
0.0050625,3.4511e-17,0,1,0.114,-1.886,0,0
0.0052007,3.6118e-17,0,1,0.117,-1.883,0,0
0.0053388,3.7724e-17,0,1,0.12,-1.88,0,0
0.005477,3.9331e-17,0,1,0.123,-1.877,0,0
0.0056152,4.0937e-17,0,1,0.126,-1.874,0,0
0.0057542,4.2718e-17,0,1,0.129,-1.871,0,0
0.0058944,4.4715e-17,0,1,0.132,-1.868,0,0
0.0060346,4.6713e-17,0,1,0.135,-1.865,0,0
0.0061749,4.871e-17,0,1,0.138,-1.862,0,0
0.0063151,5.0707e-17,0,1,0.141,-1.859,0,0
0.0064553,5.2705e-17,0,1,0.144,-1.856,0,0
0.0065955,5.4702e-17,0,1,0.147,-1.853,0,0
0.0067357,5.6699e-17,0,1,0.15,-1.85,0,0
0.0068759,5.8696e-17,0,1,0.153,-1.847,0,0
0.0070179,6.0956e-17,0,1,0.156,-1.844,0,0
0.00716,6.3234e-17,0,1,0.159,-1.841,0,0
0.0073021,6.5511e-17,0,1,0.162,-1.838,0,0
0.0074442,6.7788e-17,0,1,0.165,-1.835,0,0
0.0075864,7.0066e-17,0,1,0.168,-1.832,0,0
0.0077285,7.2343e-17,0,1,0.171,-1.829,0,0
0.0078706,7.462e-17,0,1,0.174,-1.826,0,0
0.0080127,7.6898e-17,0,1,0.177,-1.823,0,0
0.0081556,7.9248e-17,0,1,0.18,-1.82,0,0
0.0082995,8.1694e-17,0,1,0.183,-1.817,0,0
0.0084434,8.4141e-17,0,1,0.186,-1.814,0,0
0.0085873,8.6587e-17,0,1,0.189,-1.811,0,0
0.0087312,8.9034e-17,0,1,0.192,-1.808,0,0
0.0088751,9.148e-17,0,1,0.195,-1.805,0,0
0.009019,9.3927e-17,0,1,0.198,-1.802,0,0
0.009163,9.6374e-17,0,1,0.201,-1.799,0,0
0.0093069,9.882e-17,0,1,0.204,-1.796,0,0
0.0094523,1.0136e-16,0,1,0.207,-1.793,0,0
0.0095979,1.039e-16,0,1,0.21,-1.79,0,0
0.0097434,1.0644e-16,0,1,0.213,-1.787,0,0
0.009889,1.0898e-16,0,1,0.216,-1.784,0,0
0.010035,1.1152e-16,0,1,0.219,-1.781,0,0
0.01018,1.1407e-16,0,1,0.222,-1.778,0,0
0.010326,1.1661e-16,0,1,0.225,-1.775,0,0
0.010471,1.1915e-16,0,1,0.228,-1.772,0,0
0.010617,1.2176e-16,0,1,0.231,-1.769,0,0
0.010764,1.2448e-16,0,1,0.234,-1.766,0,0
0.010912,1.2719e-16,0,1,0.237,-1.763,0,0
0.011059,1.2991e-16,0,1,0.24,-1.76,0,0
0.011206,1.3262e-16,0,1,0.243,-1.757,0,0
0.011353,1.3534e-16,0,1,0.246,-1.754,0,0
0.0115,1.3805e-16,0,1,0.249,-1.751,0,0
0.011647,1.4077e-16,0,1,0.252,-1.748,0,0
0.011794,1.4348e-16,0,1,0.255,-1.745,0,0
0.011942,1.4645e-16,0,1,0.258,-1.742,0,0
0.012091,1.4945e-16,0,1,0.261,-1.739,0,0
0.012239,1.5245e-16,0,1,0.264,-1.736,0,0
0.012387,1.5546e-16,0,1,0.267,-1.733,0,0
0.012536,1.5846e-16,0,1,0.27,-1.73,0,0
0.012684,1.6146e-16,0,1,0.273,-1.727,0,0
0.012833,1.6446e-16,0,1,0.276,-1.724,0,0
0.012981,1.6746e-16,0,1,0.279,-1.721,0,0
0.01313,1.7061e-16,0,1,0.282,-1.718,0,0
0.013279,1.7402e-16,0,1,0.285,-1.715,0,0
0.013429,1.7742e-16,0,1,0.288,-1.712,0,0
0.013579,1.8082e-16,0,1,0.291,-1.709,0,0
0.013728,-4.9266e-15,0,1,0.294,-1.706,0,0
0.013878,1.8762e-16,0,1,0.297,-1.703,0,0
0.014027,1.9102e-16,0,1,0.3,-1.7,0,0
0.014177,1.9442e-16,0,1,0.303,-1.697,0,0
0.014326,1.9782e-16,0,1,0.306,-1.694,0,0
0.014477,2.0164e-16,0,1,0.309,-1.691,0,0
0.014627,2.0551e-16,0,1,0.312,-1.688,0,0
0.014778,2.0938e-16,0,1,0.315,-1.685,0,0
0.014929,2.1325e-16,0,1,0.318,-1.682,0,0
0.015079,2.1712e-16,0,1,0.321,-1.679,0,0
0.01523,2.21e-16,0,1,0.324,-1.676,0,0
0.01538,2.2487e-16,0,1,0.327,-1.673,0,0
0.015531,2.2874e-16,0,1,0.33,-1.67,0,0
0.015682,2.3275e-16,0,1,0.333,-1.667,0,0
0.015833,2.3699e-16,0,1,0.336,-1.664,0,0
0.015985,2.4124e-16,0,1,0.339,-1.661,0,0
0.016136,2.4548e-16,0,1,0.342,-1.658,0,0
0.016287,3.9868e-15,0,1,0.345,-1.655,0,0
0.016439,2.5397e-16,0,1,0.348,-1.652,0,0
0.01659,2.5821e-16,0,1,0.351,-1.649,0,0
0.016742,2.6246e-16,0,1,0.354,-1.646,0,0
0.016893,2.667e-16,0,1,0.357,-1.643,0,0
0.017045,2.7114e-16,0,1,0.36,-1.64,0,0
0.017197,2.7561e-16,0,1,0.363,-1.637,0,0
0.01735,2.8008e-16,0,1,0.366,-1.634,0,0
0.017502,2.8455e-16,0,1,0.369,-1.631,0,0
0.017654,2.8903e-16,0,1,0.372,-1.628,0,0
