degree,nbel,time
1,8,0.011223077774047852
2,8,0.01342630386352539
3,8,0.015502214431762695
4,8,0.019071102142333984
5,8,0.02469158172607422
6,8,0.03232312202453613
1,16,0.04101204872131348
2,16,0.04456615447998047
3,16,0.057301998138427734
4,16,0.07455325126647949
5,16,0.09536623954772949
6,16,0.10802149772644043
1,32,0.37741684913635254
2,32,0.3866703510284424
3,32,0.49074745178222656
4,32,0.592890739440918
5,32,0.656484842300415
6,32,0.7587487697601318
1,64,7.773325204849243
2,64,7.601221799850464
3,64,9.106436967849731
4,64,9.495300054550171
5,64,5.547003984451294
