degree,nbel,time
1,8,0.0008268356323242188
2,8,0.0009698867797851562
3,8,0.0011091232299804688
4,8,0.0013811588287353516
5,8,0.0016751289367675781
6,8,0.002083301544189453
1,16,0.0024645328521728516
2,16,0.0031113624572753906
3,16,0.004911661148071289
4,16,0.005185127258300781
5,16,0.006386518478393555
6,16,0.009257793426513672
1,32,0.023563385009765625
2,32,0.025297164916992188
3,32,0.031209468841552734
4,32,0.044083356857299805
5,32,0.047055721282958984
6,32,0.05672645568847656
1,64,0.2868185043334961
2,64,0.25524353981018066
3,64,0.29704761505126953
4,64,0.3429992198944092
5,64,0.3930172920227051
6,64,0.47936296463012695
